Individual ID,Species,Region,Island,Date Egg,Body Mass (g),n_eggs
N94A1,Chinstrap,Anvers,Dream,11/21/09,3250.0,3
N94A2,Chinstrap,Anvers,Dream,11/21/09,4050.0,3
N95A1,Chinstrap,Anvers,Dream,11/21/09,3800.0,2
N95A2,Chinstrap,Anvers,Dream,11/21/09,3525.0,1
N96A1,Chinstrap,Anvers,Dream,11/27/09,3950.0,1
N96A2,Chinstrap,Anvers,Dream,11/27/09,3650.0,2
N98A1,Chinstrap,Anvers,Dream,11/19/09,3650.0,3
N98A2,Chinstrap,Anvers,Dream,11/19/09,4000.0,3
N99A1,Chinstrap,Anvers,Dream,11/21/09,3400.0,3
N99A2,Chinstrap,Anvers,Dream,11/21/09,3775.0,3
N100A1,Chinstrap,Anvers,Dream,11/21/09,4100.0,3
N100A2,Chinstrap,Anvers,Dream,11/21/09,3775.0,1
N1A1,Gentoo,Anvers,Biscoe,11/18/09,4625.0,3
N1A2,Gentoo,Anvers,Biscoe,11/18/09,5450.0,3
N6A1,Gentoo,Anvers,Biscoe,11/15/09,4725.0,1
N6A2,Gentoo,Anvers,Biscoe,11/15/09,5350.0,2
N8A1,Gentoo,Anvers,Biscoe,11/22/09,4750.0,3
N8A2,Gentoo,Anvers,Biscoe,11/22/09,5600.0,3
N13A1,Gentoo,Anvers,Biscoe,11/20/09,4600.0,2
N13A2,Gentoo,Anvers,Biscoe,11/20/09,5300.0,2
N14A1,Gentoo,Anvers,Biscoe,11/25/09,4875.0,3
N14A2,Gentoo,Anvers,Biscoe,11/25/09,5550.0,2
N15A1,Gentoo,Anvers,Biscoe,11/25/09,4950.0,3
N15A2,Gentoo,Anvers,Biscoe,11/25/09,5400.0,3
N18A1,Gentoo,Anvers,Biscoe,12/1/09,4750.0,1
N18A2,Gentoo,Anvers,Biscoe,12/1/09,5650.0,2
N19A1,Gentoo,Anvers,Biscoe,11/27/09,4850.0,3
N19A2,Gentoo,Anvers,Biscoe,11/27/09,5200.0,2
N20A1,Gentoo,Anvers,Biscoe,11/18/09,4925.0,3
N20A2,Gentoo,Anvers,Biscoe,11/18/09,4875.0,3
N21A1,Gentoo,Anvers,Biscoe,11/18/09,4625.0,3
N21A2,Gentoo,Anvers,Biscoe,11/18/09,5250.0,3
N22A1,Gentoo,Anvers,Biscoe,11/22/09,4850.0,2
N22A2,Gentoo,Anvers,Biscoe,11/22/09,5600.0,2
N23A1,Gentoo,Anvers,Biscoe,11/18/09,4975.0,1
N23A2,Gentoo,Anvers,Biscoe,11/18/09,5500.0,3
N24A1,Gentoo,Anvers,Biscoe,12/1/09,4725.0,1
N24A2,Gentoo,Anvers,Biscoe,12/1/09,5500.0,3
N28A1,Gentoo,Anvers,Biscoe,11/10/09,4700.0,2
N28A2,Gentoo,Anvers,Biscoe,11/10/09,5500.0,3
N29A1,Gentoo,Anvers,Biscoe,11/9/09,4575.0,2
N29A2,Gentoo,Anvers,Biscoe,11/9/09,5500.0,2
N32A1,Gentoo,Anvers,Biscoe,11/20/09,5000.0,1
N32A2,Gentoo,Anvers,Biscoe,11/20/09,5950.0,2
N34A1,Gentoo,Anvers,Biscoe,11/27/09,4650.0,1
N34A2,Gentoo,Anvers,Biscoe,11/27/09,5500.0,3
N35A1,Gentoo,Anvers,Biscoe,11/25/09,4375.0,3
N35A2,Gentoo,Anvers,Biscoe,11/25/09,5850.0,3
N36A1,Gentoo,Anvers,Biscoe,12/1/09,4875.0,1
N36A2,Gentoo,Anvers,Biscoe,12/1/09,6000.0,3
N38A1,Gentoo,Anvers,Biscoe,12/1/09,4925.0,1
N39A1,Gentoo,Anvers,Biscoe,11/22/09,4850.0,2
N39A2,Gentoo,Anvers,Biscoe,11/22/09,5750.0,2
N43A1,Gentoo,Anvers,Biscoe,11/22/09,5200.0,3
N43A2,Gentoo,Anvers,Biscoe,11/22/09,5400.0,3
